Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5735304,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Перевалка,2008.0,60.7,2.5,открытый двор,2,0,Современный ремонт,4750.0
5719893,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Монолитные,Древлянка,1992.0,33.1,2.5,открытый двор,1,0,Современный ремонт,4480.0
5726954,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Октябрьский,1969.0,39.2,2.5,открытый двор,2,0,Косметический ремонт,2499.0
5724783,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,Инд,Монолитные,Ключевая,2019.0,41.0,2.5,открытый двор,2,0,Косметический ремонт,3400.0
5722421,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,2,Инд,Деревянные,Октябрьский,1958.0,30.0,2.5,открытый двор,2,0,Косметический ремонт,1250.0
5723719,0,0,Пластиковые,есть,0,0,0,0,Лоджия,9,Инд,Кирпичные,Голиковка,1979.0,53.1,2.5,открытый двор,2,0,Косметический ремонт,3850.0
5734289,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Кирпичные,Октябрьский,1992.0,32.0,2.5,открытый двор,1,0,Косметический ремонт,2000.0
5731317,0,0,Пластиковые/деревянные,есть,0,0,0,0,Есть балкон,5,75 ,Панельные,Кукковка,1971.0,49.2,2.57,открытый двор,2,0,Косметический ремонт,3500.0
5722317,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,2,Инд,Деревянные,Октябрьский,1958.0,35.7,2.5,открытый двор,2,0,Косметический ремонт,1400.0
5716732,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,1971.0,50.0,2.5,открытый двор,3,0,Косметический ремонт,2890.0
5714592,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Общ,Блочные,Голиковка,1962.0,12.6,2.5,открытый двор,1,0,Косметический ремонт,700.0
5712698,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Первомайский,1984.0,34.3,2.5,открытый двор,1,0,Косметический ремонт,1999.0
5718467,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,6,Инд,Кирпичные,Центр,1955.0,25.8,2.7,закрытый двор,1,0,Косметический ремонт,2850.0
5712712,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Зарека,1982.0,16.7,2.5,открытый двор,1,0,Косметический ремонт,680.0
5722366,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,1-335А,Деревянные,Октябрьский,1965.0,31.0,2.5,открытый двор,1,0,Частичный ремонт,1350.0
5719724,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2008.0,35.3,2.7,открытый двор,1,0,Современный ремонт,2880.0
5719858,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Сулажгора,1992.0,32.0,2.5,открытый двор,1,0,Косметический ремонт,2000.0
5722266,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Сулажгора,1990.0,12.8,2.5,открытый двор,1,0,Косметический ремонт,450.0
5731077,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Зарека,1990.0,49.0,2.5,открытый двор,2,0,Косметический ремонт,3200.0
5730225,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Общ,Кирпичные,Зарека,1979.0,18.3,2.6,открытый двор,1,0,Косметический ремонт,950.0
5719679,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Монолитные,Древлянка,2018.0,48.7,2.5,открытый двор,2,0,Современный ремонт,5000.0
5717639,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,Инд,Монолитные,Кукковка,1992.0,36.0,2.5,открытый двор,1,0,Улучшенная черновая отделка,2700.0
5722572,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Кукковка,2006.0,43.9,2.5,открытый двор,1,0,Современный ремонт,3750.0
5734536,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1965.0,45.0,2.5,открытый двор,2,0,Современный ремонт,3300.0
5731778,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Первомайский,1968.0,49.4,2.5,открытый двор,1,0,Косметический ремонт,2500.0
5721461,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Кирпичные,Первомайский,1939.0,77.9,3.24,открытый двор,3,0,Косметический ремонт,4990.0
5717967,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1990.0,65.0,2.5,открытый двор,3,0,Косметический ремонт,3700.0
5712448,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Перевалка,1983.0,12.0,2.5,открытый двор,1,0,Косметический ремонт,530.0
5698833,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1989.0,51.0,2.5,открытый двор,2,0,Косметический ремонт,3000.0
5692770,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1993.0,48.7,2.5,открытый двор,2,0,Косметический ремонт,3800.0
5700277,0,0,Пластиковые,есть,1,0,0,0,Нет балкона,6,Общ,Панельные,Сулажгора,1990.0,13.0,2.5,открытый двор,1,0,Косметический ремонт,480.0
5706617,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Хрущ,Панельные,Октябрьский,1975.0,35.0,2.5,открытый двор,1,0,Косметический ремонт,2690.0
5700524,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Центр,1965.0,42.0,2.5,открытый двор,2,0,Косметический ремонт,2800.0
5706130,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Перевалка,2013.0,48.9,2.55,открытый двор,2,0,Современный ремонт,6105.0
5697221,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1975.0,57.2,2.5,открытый двор,3,0,Косметический ремонт,3380.0
5695189,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Центр,1992.0,42.0,2.5,открытый двор,2,0,Косметический ремонт,2800.0
5713183,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Панельные,Октябрьский,1978.0,23.0,2.5,открытый двор,1,0,Косметический ремонт,1200.0
5700526,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,14,Инд,Панельные,Перевалка,2019.0,40.0,2.5,открытый двор,1,0,Современный ремонт,3650.0
5703715,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2014.0,35.5,2.5,открытый двор,1,0,Улучшенная черновая отделка,2700.0
5707987,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,75 ,Панельные,Древлянка,1990.0,49.7,2.5,открытый двор,2,0,Косметический ремонт,3600.0
5708115,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,1-335А,Блочные,Голиковка,1965.0,44.0,2.5,открытый двор,2,0,Современный ремонт,3500.0
5703691,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Сулажгора,1990.0,13.0,2.5,открытый двор,1,0,Косметический ремонт,580.0
5704228,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Кукковка,1978.0,35.5,2.5,открытый двор,1,0,Косметический ремонт,2520.0
5712822,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,1992.0,51.0,2.5,открытый двор,2,0,Косметический ремонт,3500.0
5705736,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Кукковка,1981.0,35.7,2.7,открытый двор,1,0,Частичный ремонт,2350.0
5712581,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,14,Инд,Панельные,Перевалка,2019.0,37.0,2.5,открытый двор,1,0,Косметический ремонт,3780.0
5714562,0,0,Пластиковые,отсутствует,0,0,0,0,Нет балкона,5,Общ,Кирпичные,Ключевая,1982.0,14.0,2.5,открытый двор,1,0,Косметический ремонт,550.0
5693381,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Панельные,Кукковка,2021.0,90.0,2.5,открытый двор,3,0,Улучшенная черновая отделка,5300.0
5693681,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1992.0,58.4,2.5,открытый двор,4,0,Частичный ремонт,3100.0
5712811,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,1993.0,56.0,2.55,открытый двор,2,0,Косметический ремонт,3560.0
5703805,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1963.0,42.2,2.5,открытый двор,2,0,Современный ремонт,2700.0
5692898,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,15,Инд,Монолитные,Кукковка,2008.0,54.7,2.5,открытый двор,2,0,Косметический ремонт,3950.0
5669072,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,65.0,2.5,открытый двор,3,0,Косметический ремонт,3890.0
5693000,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2015.0,33.9,2.65,открытый двор,1,0,Косметический ремонт,3075.0
5674643,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,21,Инд,Монолитные,Перевалка,1992.0,38.8,2.5,открытый двор,2,1,Косметический ремонт,3790.0
5674265,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Центр,1966.0,43.7,2.5,открытый двор,2,0,Косметический ремонт,3250.0
5686751,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,1992.0,38.9,2.5,открытый двор,1,0,Косметический ремонт,2850.0
5676880,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,5,Хрущ,Панельные,Первомайский,1974.5,48.6,2.5,открытый двор,2,0,Косметический ремонт,3000.0
5669412,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Деревянные,Первомайский,1992.0,25.8,2.5,открытый двор,1,0,Косметический ремонт,1190.0
5670094,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1984.0,33.0,2.5,открытый двор,1,0,Косметический ремонт,2100.0
5684931,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Общ,Панельные,Ключевая,1980.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,750.0
5665343,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,25,Инд,Монолитные,Кукковка,2020.0,40.9,2.8,закрытый двор,1,0,Улучшенная черновая отделка,3150.0
5686981,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Зарека,1976.0,58.0,2.55,открытый двор,2,0,Косметический ремонт,2700.0
5669591,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Блочные,Центр,1965.0,44.2,2.5,открытый двор,2,0,Косметический ремонт,3200.0
5658993,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Перевалка,2008.0,34.7,2.5,открытый двор,1,0,Косметический ремонт,3299.0
5692627,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Кукковка,1986.0,33.5,2.7,открытый двор,1,0,Косметический ремонт,2200.0
5690896,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,3,Инд,Кирпичные,Зарека,1992.0,46.0,2.5,открытый двор,2,0,Косметический ремонт,2400.0
5692031,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Кукковка,1983.0,35.2,3.0,закрытый двор,1,0,Частичный ремонт,2565.0
5690381,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Перевалка,1992.0,33.0,2.5,открытый двор,1,0,Современный ремонт,2999.0
5691343,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1992.0,32.8,2.55,открытый двор,1,0,Частичный ремонт,2300.0
5674270,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,75 ,Монолитные,Октябрьский,1971.0,30.2,2.7,открытый двор,1,0,Частичный ремонт,2100.0
5693980,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1992.0,44.6,2.5,открытый двор,2,0,Косметический ремонт,2500.0
5674075,1,1,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Кукковка,1982.0,64.2,2.5,открытый двор,3,0,Косметический ремонт,4500.0
5674544,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2016.0,54.3,2.5,открытый двор,2,0,Современный ремонт,4500.0
5682196,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Деревянные,Центр,1939.0,34.9,2.5,открытый двор,1,0,Требует ремонта,1750.0
5673989,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,1992.0,36.0,2.75,открытый двор,1,0,Косметический ремонт,2950.0
5653449,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1992.0,36.0,2.5,открытый двор,1,0,Частичный ремонт,2300.0
5643029,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Древлянка,1994.0,38.4,2.55,открытый двор,1,0,Частичный ремонт,2349.0
5648834,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,14,Инд,Монолитные,Октябрьский,2019.0,61.5,2.5,открытый двор,3,0,Частичный ремонт,5800.0
5646599,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Сулажгора,1972.0,59.7,2.5,открытый двор,3,0,Современный ремонт,3000.0
5643752,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2012.0,49.4,2.5,открытый двор,2,0,Современный ремонт,4100.0
5651114,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,1971.0,30.0,2.5,открытый двор,1,0,Косметический ремонт,2050.0
5643662,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1972.0,62.7,2.5,открытый двор,3,0,Косметический ремонт,3450.0
5650889,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1972.0,47.43,2.5,открытый двор,2,0,Косметический ремонт,2729.0
5651265,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,2005.0,36.0,2.5,открытый двор,1,0,Косметический ремонт,2750.0
5643468,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2012.0,33.2,2.5,открытый двор,1,0,Косметический ремонт,2700.0
5658398,0,0,Пластиковые,есть,0,0,0,0,Лоджия,5,Инд,Кирпичные,Ключевая,1992.0,120.0,2.5,открытый двор,3,0,Косметический ремонт,5000.0
5645583,0,0,Пластиковые/деревянные,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1992.0,43.6,2.5,открытый двор,2,0,Косметический ремонт,2800.0
5644866,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Первомайский,1984.0,36.0,2.55,открытый двор,1,0,Косметический ремонт,1950.0
5661651,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Голиковка,2007.0,67.5,2.5,открытый двор,2,0,Современный ремонт,4950.0
5647627,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,14,Инд,Монолитные,Ключевая,2021.0,41.1,2.5,открытый двор,1,0,Современный ремонт,3600.0
5662813,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,2012.0,54.3,2.5,открытый двор,2,0,Косметический ремонт,4490.0
5655039,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,26,Инд,Монолитные,Кукковка,2016.0,26.7,2.5,открытый двор,1,0,Современный ремонт,2550.0
5657726,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Блочные,Кукковка,1989.0,39.0,2.5,открытый двор,1,0,Косметический ремонт,2560.0
5648774,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Древлянка,2018.0,45.2,2.5,открытый двор,2,0,Современный ремонт,3300.0
5636065,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,6,Инд,Панельные,Древлянка,2020.0,92.0,2.7,закрытый двор,3,0,Улучшенная черновая отделка,5000.0
5631907,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1987.0,65.1,2.5,открытый двор,3,0,Косметический ремонт,4000.0
5621383,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Октябрьский,1992.0,43.1,2.5,открытый двор,2,0,Современный ремонт,2900.0
5635687,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Кукковка,1982.0,70.8,2.5,открытый двор,4,0,Косметический ремонт,4110.0
5611522,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,11,75 ,Панельные,Древлянка,1989.0,35.0,2.5,открытый двор,1,0,Косметический ремонт,2500.0
5624199,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Первомайский,1973.0,31.8,2.5,открытый двор,1,0,Частичный ремонт,1890.0
5629703,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Первомайский,1992.0,45.0,2.5,открытый двор,2,0,Косметический ремонт,2650.0
5635708,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Древлянка,2016.0,51.0,2.5,открытый двор,2,0,Современный ремонт,4350.0
5622303,0,0,Пластиковые,отсутствует,0,0,0,0,Есть балкон,10,Инд,Монолитные,Голиковка,1992.0,33.2,2.5,открытый двор,1,0,Косметический ремонт,2640.0
5622133,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,12,Инд,Кирпичные,Кукковка,1992.0,37.6,2.5,открытый двор,1,0,Косметический ремонт,2950.0
5612915,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Перевалка,2014.0,74.0,2.5,открытый двор,3,0,Косметический ремонт,6000.0
5624432,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Перевалка,1989.0,73.0,2.5,открытый двор,3,0,Косметический ремонт,4680.0
5628131,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,2008.0,53.6,2.5,открытый двор,2,0,Косметический ремонт,3800.0
5630063,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1992.0,36.3,2.5,открытый двор,1,0,Частичный ремонт,2350.0
5619485,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,65.2,2.55,открытый двор,3,0,Современный ремонт,3750.0
5644265,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Кирпичные,Центр,1941.0,53.4,3.3,открытый двор,2,0,Косметический ремонт,4900.0
5635299,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1975.0,62.0,2.5,открытый двор,3,0,Косметический ремонт,3480.0
5629657,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,2010.0,53.6,2.6,открытый двор,2,0,Современный ремонт,5900.0
5613807,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,3,Инд,Блочные,Перевалка,2016.0,60.7,2.5,открытый двор,3,0,Частичный ремонт,3500.0
5622856,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Хрущ,Панельные,Октябрьский,1974.5,31.0,2.5,открытый двор,1,0,Частичный ремонт,2200.0
5634070,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,9,Общ,Кирпичные,Голиковка,1974.0,12.0,2.5,открытый двор,1,0,Косметический ремонт,750.0
5631007,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Голиковка,1963.0,46.0,2.5,открытый двор,2,0,Косметический ремонт,2870.0
5615916,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Сулажгора,1990.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,600.0
5585478,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Кукковка,2006.0,65.0,2.5,открытый двор,3,0,Косметический ремонт,4200.0
5611456,0,0,Пластиковые,есть,0,0,0,0,Лоджия,9,75 ,Панельные,Древлянка,1987.0,33.9,2.5,открытый двор,1,0,Косметический ремонт,2420.0
5598721,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Кирпичные,Центр,1992.0,74.5,3.0,открытый двор,3,0,Косметический ремонт,4950.0
5592032,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,22,Инд,Монолитные,Перевалка,2017.0,59.9,2.5,открытый двор,2,0,Косметический ремонт,4900.0
5596993,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,Инд,Панельные,Перевалка,1993.0,34.5,2.55,открытый двор,1,0,Косметический ремонт,2400.0
5595226,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2011.0,52.0,2.5,открытый двор,2,0,Современный ремонт,3880.0
5608772,0,0,Пластиковые,отсутствует,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Октябрьский,1970.0,12.0,2.5,открытый двор,1,0,Частичный ремонт,690.0
5579942,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,1972.0,30.0,2.5,открытый двор,1,0,Косметический ремонт,2150.0
5582565,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1992.0,59.1,2.5,открытый двор,3,0,Частичный ремонт,3800.0
5609182,0,0,Пластиковые,есть,0,1,1,1,Нет балкона,2,Инд,Деревянные,Голиковка,1992.0,60.2,2.7,закрытый двор,3,0,Косметический ремонт,2500.0
5613454,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Центр,1960.0,42.8,2.5,открытый двор,2,0,Косметический ремонт,2450.0
5611455,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Октябрьский,2010.0,29.3,2.7,открытый двор,1,0,Косметический ремонт,2770.0
5605730,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Перевалка,1984.0,31.5,2.5,открытый двор,1,0,Косметический ремонт,2649.0
5614004,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1971.0,60.8,2.5,открытый двор,3,0,Косметический ремонт,3750.0
5600686,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1992.0,37.0,2.5,открытый двор,1,0,Косметический ремонт,2200.0
5597038,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Древлянка,1992.0,71.6,2.5,открытый двор,4,0,Косметический ремонт,4500.0
5582491,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,71.3,2.5,открытый двор,4,0,Частичный ремонт,3999.0
5585543,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Голиковка,2011.0,64.0,2.5,открытый двор,2,0,Косметический ремонт,5000.0
5585466,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Монолитные,Древлянка,2016.0,32.7,2.5,открытый двор,1,0,Косметический ремонт,3300.0
5608152,0,0,Деревянные,есть,0,0,0,0,Нет балкона,2,Инд,Деревянные,Октябрьский,1992.0,43.7,2.5,открытый двор,2,0,Косметический ремонт,1900.0
5589671,0,0,Деревянные,есть,0,0,0,0,Есть балкон,5,75 ,Панельные,Кукковка,1979.0,53.0,2.5,открытый двор,2,0,Частичный ремонт,3150.0
5616906,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,53.4,2.5,открытый двор,2,0,Косметический ремонт,3880.0
5554061,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1992.0,49.9,2.5,открытый двор,3,0,Косметический ремонт,2800.0
5583918,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Кирпичные,Зарека,1992.0,18.0,2.5,открытый двор,1,0,Косметический ремонт,550.0
5550198,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Сулажгора,1984.0,49.5,2.5,открытый двор,3,0,Косметический ремонт,3100.0
5553154,1,1,Пластиковые/деревянные,есть,0,0,0,0,Есть балкон,14,Инд,Кирпичные,Голиковка,1987.0,57.7,2.5,открытый двор,2,0,Косметический ремонт,3600.0
5578756,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,1-335А,Панельные,Кукковка,1979.0,84.1,2.5,открытый двор,4,0,Косметический ремонт,5390.0
5549412,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Деревянные,Голиковка,1992.0,35.0,2.5,открытый двор,2,0,Современный ремонт,1550.0
5558520,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Октябрьский,1992.0,14.0,2.5,открытый двор,1,0,Косметический ремонт,1600.0
5541371,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Сулажгора,2012.0,37.0,2.6,открытый двор,1,0,Современный ремонт,2999.0
5577811,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,1992.0,54.6,2.5,открытый двор,3,0,Современный ремонт,4750.0
5542694,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Ключевая,2008.0,47.5,2.7,открытый двор,1,0,Косметический ремонт,3600.0
5574969,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,34.5,2.5,открытый двор,1,0,Косметический ремонт,2810.0
5575526,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Октябрьский,1976.0,48.0,2.5,открытый двор,2,0,Частичный ремонт,2900.0
5533595,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,335-с,Панельные,Кукковка,1979.0,50.0,2.5,открытый двор,2,0,Современный ремонт,3990.0
5559016,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Ключевая,1975.0,30.8,2.5,открытый двор,1,0,Косметический ремонт,2199.0
5560509,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Ключевая,1983.0,31.0,2.7,открытый двор,1,0,Косметический ремонт,1880.0
5546101,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1974.0,47.6,2.5,открытый двор,2,0,Современный ремонт,3390.0
5526945,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,16,2-68-1-0,Панельные,Кукковка,1987.0,35.0,2.5,открытый двор,1,0,Современный ремонт,2590.0
