Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5548408,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,5,Инд,Панельные,Перевалка,2014.0,73.5,2.7,открытый двор,3,0,Современный ремонт,5900.0
5561125,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Центр,1966.0,58.0,2.5,открытый двор,2,0,Косметический ремонт,3200.0
5488903,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Зарека,1971.0,55.0,2.55,открытый двор,3,0,Косметический ремонт,3099.0
5525183,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Первомайский,1979.0,31.4,2.5,открытый двор,1,0,Косметический ремонт,2300.0
5513638,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,Инд,Панельные,Древлянка,1992.0,80.0,2.57,открытый двор,3,0,Косметический ремонт,4100.0
5523978,0,0,Пластиковые,есть,0,1,1,1,Нет балкона,5,Хрущ,Кирпичные,Центр,1963.0,42.5,2.5,открытый двор,2,0,Современный ремонт,4300.0
5506259,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1992.0,47.8,2.5,открытый двор,2,0,Косметический ремонт,3500.0
5498626,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,19,Инд,Монолитные,Древлянка,2013.0,75.9,2.5,открытый двор,3,0,Современный ремонт,6100.0
5482221,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Древлянка,1989.0,55.5,2.5,открытый двор,2,0,Косметический ремонт,3800.0
5485779,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Перевалка,2015.0,33.5,2.5,открытый двор,2,0,Косметический ремонт,3100.0
