,Код объекта,Комнатность,Общая площадь,Высота потолков,Ремонт,Санузел,Балкон,Материал окон,Солнечная сторона,Вид из окон,Счетчик воды,Железная дверь,Подключённые сервисы,Домофон,Этаж/Этажность,Серия,Год постройки,Стены,Номер дома,Колясочная,Двор,Парковка,Адрес,zipcode,url,Цена,Коммунальные платежи,Кухонный гарнитур,Кухня-гостиная,Нежилые помещения на первом этаже,Пандус,Площадка для выгула собак,Площадь кухни,Остекление балкона,Площадь балкона,Счетчик тепла,Гардеробная,Лифт,Консьерж,Велосипедная,Детская площадка,система водонагрева,Кладовка,Корпус,Мягкая мебель,Шкаф-купе,воздушные фильтры,Проходные комнаты,Квартира угловая / торцевая,строение,фильтры для воды,Постирочная,Видеодомофон,охранная сигнализация,кондиционер,Многоуровневая
581,4597975,1,18 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Общ,1971,Кирпичные,33,,открытый двор,наземный паркинг,"Первомайский, ул. Советская, д. 33",,https://ptz.etagi.com//realty/4597975/,1 200 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,4558536,3,65.1 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 3,Инд,,Кирпичные,13,,открытый двор,наземный паркинг,"Кондопога, ул. Пролетарская, д. 13",,https://ptz.etagi.com//realty/4558536/,2 260 000 руб.,2000-3500 ₽,+,,,,,,,,,,,,,,,в квартире,,,+,,,,,,,,,,
583,4590045,1,12 м²,2.5 м,Частичный ремонт,Раздельный,Есть балкон,Деревянные,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Общ,1978,Панельные,7,,открытый двор,наземный паркинг,"Октябрьский, ул. Краснофлотская, д. 7",,https://ptz.etagi.com//realty/4590045/,660 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,4684284,1,12 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,,интернет,Есть,1 из 5,Общ,1960,Кирпичные,3,,открытый двор,парковка отсутствует,"Голиковка, ул. Лососинская набережная, д. 3",,https://ptz.etagi.com//realty/4684284/,550 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,4568095,2,50 м²,2.5 м,Частичный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 12,Инд,1997,Кирпичные,18,,открытый двор,наземный паркинг,"Кукковка, ул. Ровио, д. 18",,https://ptz.etagi.com//realty/4568095/,3 399 000 руб.,,,,,,,8 м²,,,,,,,,,,,,,,,,,,,,,,,
586,4640547,1,33.5 м²,2.75 м,Косметический ремонт,Совмещенный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 5,Инд,1988,Кирпичные,4а,,открытый двор,парковка отсутствует,"Октябрьский, ул. Мурманская, д. 4а",,https://ptz.etagi.com//realty/4640547/,2 450 000 руб.,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,
587,4665707,1,12.7 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Деревянные,часть окон,дороги,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 5,Общ,1976,Кирпичные,2,,открытый двор,наземный паркинг,"Перевалка, ул. Зелёная, д. 2",,https://ptz.etagi.com//realty/4665707/,550 000 руб.,2700-3100 ₽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,4587497,1,31 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 3,Инд,1967,Блочные,8,,открытый двор,наземный паркинг,"Ключевая, ул. Судостроительная, д. 8",,https://ptz.etagi.com//realty/4587497/,1 800 000 руб.,,,,,,,,,,,,пассажирский и грузовой,,,,,,,,,,,,,,,,,,
589,4683347,1,19.7 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Общ,,Кирпичные,20A,,открытый двор,наземный паркинг,"Зарека, ул. Ригачина, д. 20A",,https://ptz.etagi.com//realty/4683347/,820 000 руб.,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,
590,4615888,4,70.3 м²,2.5 м,Частичный ремонт,Раздельный,Лоджия,Деревянные,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 9,75 ,1985,Панельные,22,,открытый двор,наземный паркинг,"Кукковка, ул. Питкярантская, д. 22",,https://ptz.etagi.com//realty/4615888/,2 800 000 руб.,,,,,,есть,,есть,,,,пассажирский и грузовой,,,,,,,,,,,,,,,,,,
591,4564920,1,13 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 5,Инд,1982,Кирпичные,15,,открытый двор,наземный паркинг,"Ключевая, ул. Кемская, д. 15",,https://ptz.etagi.com//realty/4564920/,600 000 руб.,,,,,,,,,,,,пассажирский,,,,,,,,,,,,,,,,,,
592,4530588,3,72 м²,3 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые/деревянные,часть окон,"дороги, во двор",есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 3,Инд,1957,Кирпичные,24а,,открытый двор,парковка отсутствует,"Первомайский, ул. Первомайский пр-т, д. 24а",,https://ptz.etagi.com//realty/4530588/,4 000 000 руб.,6000 ₽,,,,,,7.7 м²,,0.5 м²,,,,,,,,,,,,,есть,Да,,,,,,,
593,4466214,6,202 м²,2.7 м,Ремонт по дизайн проекту,Раздельный,две лоджии и более,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 2,Инд,2014,Деревянные,106,,"закрытый двор, шлагбаум, видеонаблюдение",наземный паркинг,"Пески, ул. Революционная, д. 106",,https://ptz.etagi.com//realty/4466214/,14 990 000 руб.,,+,,,,есть,,,,есть,+,,,,,+,в квартире,,,+,+,,Да,,+,+,,+,+,
594,4414316,2,42 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,8 из 16,Инд,2016,Монолитные,19,,открытый двор,наземный паркинг,"Ключевая, ул. Кемская, д. 19",,https://ptz.etagi.com//realty/4414316/,3 200 000 руб.,,,,,,,,,,,,пассажирский и грузовой,,,,,,,,,,,,,,,,,,
595,4447349,1,35.6 м²,2.55 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 9,Инд,2012,Панельные,30,есть,открытый двор,наземный паркинг,"5-й посёлок, ул. Беломорская, д. 30",,https://ptz.etagi.com//realty/4447349/,2 110 000 руб.,,,,,,есть,,,,,,пассажирский и грузовой,,,,,,,,,,,,,,,,,,
596,4402769,1,34 м²,2.5 м,Косметический ремонт,Совмещенный,Нет балкона,Деревянные,часть окон,"стены соседних домов, во двор",есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 2,Инд,1934,Деревянные,20,,открытый двор,наземный паркинг,"Железнодорожный, ул. Профсоюзов, д. 20",,https://ptz.etagi.com//realty/4402769/,900 000 руб.,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,
597,4500403,2,56.1 м²,2.5 м,Современный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 9,Инд,2017,Монолитные,15,,открытый двор,наземный паркинг,"Древлянка, ул. Попова, д. 15",,https://ptz.etagi.com//realty/4500403/,6 510 000 руб.,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,
598,4432300,1,12.1 м²,2.5 м,Современный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,7 из 9,Общ,1974,Кирпичные,55а,,открытый двор,наземный паркинг,"Голиковка, ул. Калинина, д. 55а",,https://ptz.etagi.com//realty/4432300/,550 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,4310849,1,18 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Общ,1982,Кирпичные,4а,,открытый двор,наземный паркинг,"Зарека, ул. Волховская, д. 4а",,https://ptz.etagi.com//realty/4310849/,890 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,4386226,5,89 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 5,Общ,1958,Кирпичные,5а,,открытый двор,наземный паркинг,"Октябрьский, ул. Лисицыной, д. 5а",,https://ptz.etagi.com//realty/4386226/,2 900 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,4331495,1,13 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,все окна,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 5,Общ,1979,Кирпичные,5,,открытый двор,наземный паркинг,"Зарека, ул. Державина, д. 5",,https://ptz.etagi.com//realty/4331495/,600 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,4319605,1,34 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,"дороги, во двор",есть,есть,"телефон, интернет, кабельное телевидение",Есть,5 из 5,Инд,1953,Кирпичные,61,,открытый двор,парковка отсутствует,"Зарека, ул. Александра Невского пр-т, д. 61",,https://ptz.etagi.com//realty/4319605/,2 000 000 руб.,,+,,,,,,,,,,,,,,,,,+,,,,,,,,,,,
603,4508915,2,41.1 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 2,Инд,,Деревянные,12,,открытый двор,наземный паркинг,"Перевалка, ул. Прионежская, д. 12",,https://ptz.etagi.com//realty/4508915/,1 560 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,4344379,2,60 м²,2.75 м,Ремонт по дизайн проекту,Совмещенный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 9,Инд,2008,Панельные,41,,открытый двор,наземный паркинг,"Перевалка, ул. Черняховского, д. 41",,https://ptz.etagi.com//realty/4344379/,5 199 000 руб.,,+,,,,,,есть,,,,пассажирский и грузовой,,,,,,,+,+,,,,,,,,,,
605,4559429,1,12 м²,2.5 м,Косметический ремонт,,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"интернет, кабельное телевидение",Есть,3 из 5,Общ,,Блочные,12,,открытый двор,наземный паркинг,"Мелиоративный п., ул. Строительная, д. 12",,https://ptz.etagi.com//realty/4559429/,510 000 руб.,,,,,,,,,,,,,,,,,,,,,,,Да,,,,,,,
606,4474476,1,18 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 5,Инд,1983,Кирпичные,6,,открытый двор,наземный паркинг,"Перевалка, ул. Зелёная, д. 6",,https://ptz.etagi.com//realty/4474476/,999 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,4419038,1,30 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 2,Инд,2011,Деревянные,12,,открытый двор,наземный паркинг,"5-й посёлок, ул. Боровая, д. 12",,https://ptz.etagi.com//realty/4419038/,1 460 000 руб.,,,,,,,6 м²,,,,,,,,,,,,,,,,,,,,,,,
608,4505524,2,55.3 м²,2.5 м,Частичный ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 9,75 ,1992,Панельные,6 к2,есть,открытый двор,наземный паркинг,"Древлянка, ул. Интернационалистов бульвар, д. 6 к2",,https://ptz.etagi.com//realty/4505524/,2 650 000 руб.,,,,,,есть,,,,,,пассажирский,,,,,,2,,,,,,,,,,,,
609,4389654,1,12.6 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,,есть,интернет,Есть,5 из 5,Общ,1990,Кирпичные,63,,открытый двор,наземный паркинг,"Сулажгора, ул. Жуковского, д. 63",,https://ptz.etagi.com//realty/4389654/,540 000 руб.,4000 ₽,+,,,,есть,,,,,,,,,,,,,+,,,,,,,+,,,,
610,4309302,4,59.1 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,1 из 5,Инд,1970,Панельные,24,,открытый двор,наземный паркинг,"Голиковка, ул. Лесная, д. 24",,https://ptz.etagi.com//realty/4309302/,3 700 000 руб.,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,
611,4471087,1,13 м²,2.5 м,Косметический ремонт,,Нет балкона,Пластиковые,все окна,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 5,Общ,1979,Кирпичные,5,,открытый двор,наземный паркинг,"Зарека, ул. Державина, д. 5",,https://ptz.etagi.com//realty/4471087/,600 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,4463435,1,17.5 м²,2.5 м,Косметический ремонт,Раздельный,Есть балкон,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,4 из 5,Общ,1982,Кирпичные,15,,открытый двор,наземный паркинг,"Ключевая, ул. Кемская, д. 15",,https://ptz.etagi.com//realty/4463435/,650 000 руб.,,,,,,,,,,,,пассажирский,,,,,,,,,,,,,,,,,,
613,4427663,3,44 м²,2.75 м,Косметический ремонт,Совмещенный,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,2 из 2,Инд,1983,Кирпичные,11в,,открытый двор,наземный паркинг,"Чална, ул. Школьная, д. 11в",,https://ptz.etagi.com//realty/4427663/,1 350 000 руб.,,+,,,,,,,,,,,,,,,,,,+,,,,,,,,,,
614,4364160,1,18.5 м²,2.5 м,Косметический ремонт,Раздельный,Нет балкона,Пластиковые,часть окон,во двор,есть,есть,"телефон, интернет, кабельное телевидение",Есть,3 из 5,Общ,1980,Кирпичные,4а,,открытый двор,парковка отсутствует,"Октябрьский, ул. Калевалы, д. 4а",,https://ptz.etagi.com//realty/4364160/,800 000 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
