Код объекта,Комнатность,Ремонт,Балкон,Материал окон,Серия,Год постройки,Стены,url,Адрес,наземный паркинг,гостевой паркинг,парковка отсутствует,подземный паркинг,гараж во дворе,парковка,Двор,Железная дверь,Счетчик воды,во двор,на детскую площадку,стены соседних домов,памятники архитектуры,культуры,пешеходные бульвары,дороги,трассы,автомобильные мосты,Высота потолков,Общая площадь,этаж,всего этажей,цена
5754100,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Панельные,https://ptz.etagi.com//realty/5754100/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,30.2,4,5,2400.0
5743509,5,Косметический ремонт,Есть балкон,Пластиковые,Инд,1965.0,Кирпичные,https://ptz.etagi.com//realty/5743509/,Центр,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,1,0,0,2.5,13.0,3,5,850.0
5746866,1,Требует ремонта,Есть балкон,Пластиковые,75 ,1975.0,Панельные,https://ptz.etagi.com//realty/5746866/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,35.2,3,9,2500.0
5751405,3,Современный ремонт,Есть балкон,Пластиковые,75 ,1991.0,Панельные,https://ptz.etagi.com//realty/5751405/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,70.0,2,9,4750.0
5754691,3,Косметический ремонт,Есть балкон,Пластиковые,Инд,1947.0,Блочные,https://ptz.etagi.com//realty/5754691/,Центр,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,67.0,2,4,6100.0
5738920,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,2016.0,Панельные,https://ptz.etagi.com//realty/5738920/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,31.4,2,4,1860.0
5753907,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Деревянные,https://ptz.etagi.com//realty/5753907/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,28.5,2,2,1900.0
5738749,2,Современный ремонт,Есть балкон,Пластиковые,Инд,,Панельные,https://ptz.etagi.com//realty/5738749/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,54.0,1,9,3700.0
5742393,1,Современный ремонт,Лоджия,Пластиковые,Инд,2016.0,Монолитные,https://ptz.etagi.com//realty/5742393/,Центр,1,1,0,1,0,0,закрытый двор,есть,есть,1,0,0,0,0,0,0,0,0,3.0,52.8,6,11,5100.0
5739195,2,Современный ремонт,Есть балкон,Пластиковые,Инд,2016.0,Панельные,https://ptz.etagi.com//realty/5739195/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,39.0,6,9,3530.0
5742937,2,Современный ремонт,Есть балкон,Пластиковые,75 ,,Панельные,https://ptz.etagi.com//realty/5742937/,Древлянка,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,53.0,3,9,4400.0
5737287,3,Ремонт по дизайн проекту,Есть балкон,Пластиковые,Инд,2015.0,Монолитные,https://ptz.etagi.com//realty/5737287/,Кукковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,57.4,3,11,5600.0
5736033,3,Частичный ремонт,Нет балкона,Пластиковые,Инд,1958.0,Кирпичные,https://ptz.etagi.com//realty/5736033/,Центр,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,3.0,74.0,2,4,7000.0
5742987,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,2016.0,Панельные,https://ptz.etagi.com//realty/5742987/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,36.0,1,5,2630.0
5742361,1,Косметический ремонт,Есть балкон,Пластиковые,75 ,1991.0,Панельные,https://ptz.etagi.com//realty/5742361/,Древлянка,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,36.0,1,10,2400.0
5741830,2,Современный ремонт,Лоджия,Пластиковые,Инд,,Панельные,https://ptz.etagi.com//realty/5741830/,5-й посёлок,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,52.6,7,9,3300.0
5757119,4,Современный ремонт,Лоджия,Пластиковые,75 ,1978.0,Панельные,https://ptz.etagi.com//realty/5757119/,Кукковка,1,0,1,0,0,0,открытый двор,есть,есть,1,0,1,0,0,0,0,0,0,2.61,74.5,5,9,5200.0
5741851,1,Современный ремонт,Нет балкона,Пластиковые,1-335,1968.0,Панельные,https://ptz.etagi.com//realty/5741851/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,31.0,1,5,2400.0
5744927,1,Современный ремонт,Лоджия,Пластиковые,Инд,,Панельные,https://ptz.etagi.com//realty/5744927/,5-й посёлок,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,34.8,7,9,2300.0
5743138,5,Косметический ремонт,Нет балкона,Деревянные,Инд,1970.0,Панельные,https://ptz.etagi.com//realty/5743138/,Зарека,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.7,91.8,1,5,4500.0
5738630,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,2013.0,Монолитные,https://ptz.etagi.com//realty/5738630/,Кукковка,1,1,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,30.7,4,6,2500.0
5732290,1,Современный ремонт,Лоджия,Пластиковые,75 ,1989.0,Панельные,https://ptz.etagi.com//realty/5732290/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,36.0,2,10,2800.0
5735304,2,Современный ремонт,Есть балкон,Пластиковые,Инд,2008.0,Кирпичные,https://ptz.etagi.com//realty/5735304/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,60.7,2,9,4750.0
5719893,1,Современный ремонт,Есть балкон,Пластиковые,Инд,,Монолитные,https://ptz.etagi.com//realty/5719893/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,33.1,7,9,4480.0
5726954,2,Косметический ремонт,Нет балкона,Пластиковые,Инд,1969.0,Панельные,https://ptz.etagi.com//realty/5726954/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,0,0,0,0,0,0,0,0,0,2.5,39.2,1,5,2499.0
5724783,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,2019.0,Монолитные,https://ptz.etagi.com//realty/5724783/,Ключевая,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,41.0,2,16,3400.0
5722421,2,Косметический ремонт,Нет балкона,Пластиковые,Инд,1958.0,Деревянные,https://ptz.etagi.com//realty/5722421/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,30.0,1,2,1250.0
5723719,2,Косметический ремонт,Лоджия,Пластиковые,Инд,1979.0,Кирпичные,https://ptz.etagi.com//realty/5723719/,Голиковка,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,53.1,9,9,3850.0
5734289,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Кирпичные,https://ptz.etagi.com//realty/5734289/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,32.0,4,4,2000.0
5731317,2,Косметический ремонт,Есть балкон,Пластиковые/деревянные,75 ,1971.0,Панельные,https://ptz.etagi.com//realty/5731317/,Кукковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.57,49.2,3,5,3500.0
5722317,2,Косметический ремонт,Нет балкона,Пластиковые,Инд,1958.0,Деревянные,https://ptz.etagi.com//realty/5722317/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,35.7,1,2,1400.0
5716732,3,Косметический ремонт,Есть балкон,Пластиковые,Инд,1971.0,Панельные,https://ptz.etagi.com//realty/5716732/,Голиковка,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,50.0,3,5,2890.0
5714592,1,Косметический ремонт,Нет балкона,Пластиковые,Общ,1962.0,Блочные,https://ptz.etagi.com//realty/5714592/,Голиковка,1,0,0,0,0,0,открытый двор,отсутствует,есть,1,0,0,0,0,0,0,0,0,2.5,12.6,1,5,700.0
5712698,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,1984.0,Кирпичные,https://ptz.etagi.com//realty/5712698/,Первомайский,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,34.3,8,9,1999.0
5718467,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,1955.0,Кирпичные,https://ptz.etagi.com//realty/5718467/,Центр,0,0,1,0,0,0,закрытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.7,25.8,4,6,2850.0
5712712,1,Косметический ремонт,Есть балкон,Пластиковые,Общ,1982.0,Кирпичные,https://ptz.etagi.com//realty/5712712/,Зарека,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,16.7,5,5,680.0
5722366,1,Частичный ремонт,Есть балкон,Пластиковые,1-335А,1965.0,Деревянные,https://ptz.etagi.com//realty/5722366/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,31.0,1,2,1350.0
5719724,1,Современный ремонт,Есть балкон,Пластиковые,Инд,2008.0,Панельные,https://ptz.etagi.com//realty/5719724/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.7,35.3,4,9,2880.0
